"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2016/17","BSBIO02F","BSc Biological Sciences FT","Level 6",6.38,"Commuter","W1W 6XH",62,41.67,"BSc","2:i"
"2016/17","BAJMC02F","BA Journalism FT","Level 6",1.97,"Unknown","HA1 3TP",66,1.67,"BA","2:i"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 6",6.56,"UoW Halls","W1W 6XH",59,30.43,"BSc","2:ii"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 4",8.45,"Commuter","W1W 6XH",43,53.85,"BSc","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 6",12.01,"Other inc. Private Halls","NW1 5LS",51,5.32,"BA","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 4",10.76,"Commuter","W1B 2HW",58,63.92,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",10.76,"Commuter","W1B 2HW",58,54.67,"LLB","2:ii"
"2017/18","BSNUT01F","BSc Human Nutrition FT","Level 4",3.51,"Other inc. Private Halls","W1W 6XH",59,46.88,"BSc","2:ii"
"2016/17","BAENG07F","BA English Literature FT","Level 6",10.47,"Other inc. Private Halls","W1B 2HW",71,70.24,"BA","1st"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 5",4.2,"Commuter","W1W 6XH",65,69.41,"BSc","2:i"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 6",4.2,"Commuter","W1W 6XH",55,63.16,"BSc","2:ii"
"2016/17","BAJMC06F","BA Television Production FT","Level 5",4.66,"Other inc. Private Halls","HA1 3TP",39,16.88,"BA","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 4",1.65,"Other inc. Private Halls","NW1 5LS",71,76.71,"BA","1st"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 5",6.49,"Commuter","W1W 6XH",59,61.43,"BSc","2:ii"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 6",6.49,"Commuter","W1W 6XH",61,10.26,"BSc","2:i"
"2016/17","BABSM07F","BA International Business FT","Level 6",1.41,"Other inc. Private Halls","NW1 5LS",66,68.25,"BA","2:i"
"2017/18","BSBIS01F","BSc Business Information Systems FT","Level 4",6.64,"UoW Halls","W1W 6XH",60,59.09,"BSc","2:i"
"2017/18","BASOC01F","BA Sociology FT","Level 4",6.66,"UoW Halls","W1B 2HW",68,78.57,"BA","2:i"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 5",13.66,"Commuter","W1W 6XH",54,35.71,"BSc","2:ii"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 6",13.66,"Commuter","W1W 6XH",53,15.19,"BSc","2:ii"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 4",2.85,"Other inc. Private Halls","W1B 2HW",61,41.03,"BA","2:i"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 5",2.85,"Other inc. Private Halls","W1B 2HW",64,41.38,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",11.86,"Commuter","NW1 5LS",69,60,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 6",11.86,"Commuter","NW1 5LS",68,73.97,"BA","2:i"
"2016/17","BALAN06F","BA Language and Other Disciplines FT","Level 4",6.47,"Other inc. Private Halls","W1B 2HW",45,52.87,"BA","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 6",1.47,"Other inc. Private Halls","NW1 5LS",57,73.49,"BA","2:ii"
"2016/17","BSACC01F","BSc Accounting FT","Level 6",4.95,"Commuter","NW1 5LS",64,42.16,"BSc","2:i"
"2016/17","BAADS03F","BA Illustration and Visual Communication FT","Level 6",13.4,"Other inc. Private Halls","HA1 3TP",77,40,"BA","1st"
"2016/17","BLLAW02F","LLB Law FT","Level 5",14.86,"Commuter","W1B 2HW",14,2.59,"LLB","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 5",14.59,"Unknown","NW1 5LS",68,72.09,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 6",9.12,"Other inc. Private Halls","NW1 5LS",71,58.9,"BA","1st"
"2016/17","BALAN01F","BA Modern Languages FT","Level 6",6.51,"Commuter","W1B 2HW",74,90.91,"BA","1st"
"2017/18","BSPOC03F","BSc Building Surveying FT","Level 4",1.62,"Commuter","NW1 5LS",28,53.85,"BSc","3rd"
"2016/17","BAADS04F","BA Fine Art Mixed Media FT","Level 5",1.81,"Other inc. Private Halls","HA1 3TP",70,7.14,"BA","1st"
"2017/18","BAADS04F","BA Fine Art Mixed Media FT","Level 6",1.81,"Other inc. Private Halls","HA1 3TP",73,3.16,"BA","1st"
"2016/17","BAMUS01F","BA Commercial Music FT","Level 5",7.62,"Unknown","HA1 3TP",57,10.2,"BA","2:ii"
"2017/18","BAMUS01F","BA Commercial Music FT","Level 6",7.62,"Unknown","HA1 3TP",63,1.82,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 4",3.34,"Other inc. Private Halls","NW1 5LS",59,86.84,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 5",0.32,"Other inc. Private Halls","NW1 5LS",55,85.9,"BA","2:ii"
"2016/17","BSPSY02F","BSc Psychology FT","Level 6",5.61,"Commuter","W1W 6XH",62,30.67,"BSc","2:i"
"2016/17","BAFAS01F","BA Fashion Buying Management FT","Level 4",11.48,"Other inc. Private Halls","HA1 3TP",55,36.84,"BA","2:ii"
"2017/18","BAFAS01F","BA Fashion Buying Management FT","Level 5",11.48,"Other inc. Private Halls","HA1 3TP",66,46.15,"BA","2:i"
"2016/17","BAARC01F","BA Architecture FT","Level 5",6.12,"Other inc. Private Halls","NW1 5LS",52,26.76,"BA","2:ii"
"2017/18","BAENG02F","BA English Literature and Language FT","Level 4",9.67,"Commuter","W1B 2HW",61,51.9,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",0.44,"Other inc. Private Halls","NW1 5LS",55,61.18,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 6",0.44,"Other inc. Private Halls","NW1 5LS",60,69.84,"BA","2:i"
"2016/17","BAJMC06F","BA Television Production FT","Level 4",0.59,"UoW Halls","HA1 3TP",71,69.05,"BA","1st"
"2017/18","BAJMC06F","BA Television Production FT","Level 5",19.73,"Commuter","HA1 3TP",71,31.82,"BA","1st"
"2017/18","BSMGM01F","BSc Computer Games Development FT","Level 4",6.64,"UoW Halls","W1W 6XH",77,97.8,"BSc","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 5",3.78,"Other inc. Private Halls","NW1 5LS",65,67.06,"BA","2:i"
